iter	Passed	Remaining
0	432	432276
1	633	316233
2	944	313916
3	1254	312278
4	1592	316932
5	1843	305477
6	2107	298963
7	2399	297567
8	2751	302971
9	2914	288488
10	3229	290401
11	3541	291613
12	3855	292684
13	4113	289675
14	4407	289445
15	4737	291362
16	5007	289574
17	5281	288142
18	5595	288911
19	5878	288050
20	6153	286848
21	6322	281060
22	6623	281357
23	6942	282340
24	7227	281885
25	7502	281050
26	7789	280701
27	8070	280173
28	8325	278744
29	8623	278839
30	8921	278878
31	9219	278892
32	9485	277949
33	9801	278484
34	10092	278261
35	10348	277118
36	10698	278455
37	10956	277363
38	11276	277875
39	11508	276207
40	11809	276234
41	12129	276671
42	12427	276587
43	12709	276144
44	12958	275015
45	13254	274886
46	13539	274544
47	13812	273954
48	14044	272568
49	14368	272997
50	14732	274134
51	15069	274719
52	15330	273921
53	15626	273746
54	15911	273390
55	16242	273800
56	16536	273576
57	16826	273282
58	17118	273018
59	17366	272076
60	17620	271241
61	17911	270980
62	18200	270695
63	18496	270508
64	18829	270849
65	19154	271059
66	19453	270896
67	19754	270758
68	20055	270610
69	20321	269984
70	20655	270262
71	20924	269694
72	21178	268935
73	21417	268011
74	21730	268003
75	22008	267581
76	22265	266897
77	22542	266462
78	22785	265640
79	23044	265010
80	23364	265091
81	23650	264770
82	23894	263988
83	24253	264474
84	24546	264233
85	24814	263729
86	25164	264079
87	25474	264005
88	25823	264327
89	26115	264052
90	26389	263609
91	26664	263170
92	27039	263703
93	27368	263782
94	27648	263393
95	27943	263132
96	28258	263065
97	28616	263384
98	28906	263081
99	29243	263194
100	29527	262823
101	29799	262348
102	30123	262337
103	30407	261976
104	30743	262050
105	31100	262303
106	31393	262000
107	31735	262108
108	32037	261884
109	32324	261536
110	32617	261237
111	32906	260899
112	33197	260587
113	33509	260434
114	33810	260195
115	34098	259853
116	34419	259764
117	34725	259556
118	35003	259146
119	35294	258823
120	35544	258212
121	35832	257877
122	36129	257602
123	36383	257031
124	36699	256893
125	36964	256404
126	37271	256201
127	37584	256043
128	37902	255915
129	38161	255389
130	38466	255171
131	38788	255060
132	39112	254964
133	39441	254896
134	39838	255262
135	40159	255128
136	40439	254741
137	40769	254661
138	41055	254308
139	41295	253674
140	41527	252992
141	41852	252883
142	42191	252855
143	42503	252657
144	42854	252693
145	43196	252672
146	43536	252630
147	43832	252334
148	44157	252202
149	44455	251916
150	44786	251811
151	45129	251775
152	45425	251470
153	45683	250962
154	46009	250824
155	46367	250862
156	46676	250627
157	46968	250302
158	47292	250144
159	47583	249813
160	47890	249563
161	48271	249702
162	48600	249562
163	48989	249728
164	49308	249531
165	49643	249413
166	49983	249318
167	50368	249443
168	50673	249168
